# BILL OF QUANTITIES — Phase 1 (5 cabins + restaurant + pool) — Riverstone Valley (LQV)
# Generated 2026-07-06 by Erebus
# Source: CAPEX_OPTIONS_2026-07-06.md + SUPPLY_CHAIN_RECOMMENDATIONS_2026-07-06.md
"# Currency: EUR canonical | FX: 1 EUR = 1.07 USD = 8,025 PYG"
# This is the working file — vendors quote against this

Category,Item,Qty,Unit,Unit cost (EUR),Line total (EUR),Vendor (PRIMARY),Source,Notes
Foundation,Excavation 0.6m × 0.6m × 14m³ per cabin,70,m³,28.00,1960.00,Local excavator,CAPEX_OPTIONS §B.3,Piribebuy stone + labor
Foundation,Stone fill (rubble trench),40,m³,47.00,1880.00,Sapucai quarry,"NEW02, CAPEX_OPTIONS §D.3","Gs. 45K/m³, 8 m³/cabin × 5"
Foundation,Concrete piers (sloped areas),4,piers,800.00,3200.00,Acero del Paraguay,"M04, CAPEX_OPTIONS §B.3","2 cabins on slope, 2 piers each"
Foundation,Rebar 12mm for piers,0.5,ton,720.00,360.00,Acero del Paraguay,M04,$720/ton
Foundation,Concrete for piers (C25),2,m³,120.00,240.00,Concret-Mix Asu,M04,Gs. 580/kg cement
Cabin Walls,Cob-trained builder labor (4 × 60 days),1200,builder-days,35.00,42000.00,Encarnación cob team (M_COB_01),"M_COB_01, CAPEX_OPTIONS §B.1",4 builders × 60 days × $40/day
Cabin Walls,Cob material (subsoil + clay + sand),175,m³,33.00,5775.00,Local site,M_COB_01,"35 m³/cabin × 5, $9,600/cabin labor + material"
Cabin Walls,Lime plaster (exterior + interior),5000,kg,1.70,8500.00,Asu ferretería,M_COB_01,"1,000 kg/cabin interior + exterior"
Cabin Walls,Lime for plaster,1500,kg,1.80,2700.00,Asu ferretería,M_COB_01,300 kg/cabin
Cabin Walls,Sand for plaster,25,m³,28.00,700.00,Local rivers,M_COB_01,5 m³/cabin
Cabin Walls,"Earthen floor (lime-stabilized, optional)",350,m²,12.00,4200.00,Local artisan,M_COB_01,70 m²/cabin × 5
Timber Frame,"Eucalyptus beams (200×100×4m, structural)",75,units,95.00,7125.00,Itapúa plantation (M_WOOD_01),"M_WOOD_01, CAPEX_OPTIONS §B.1",15 units/cabin × 5
Timber Frame,Eucalyptus studs (50×100×3m),250,units,22.00,5500.00,Itapúa plantation,M_WOOD_01,50 units/cabin × 5
Timber Frame,Eucalyptus rafters (50×150×4m),75,units,38.00,2850.00,Itapúa plantation,M_WOOD_01,15 units/cabin × 5
Timber Frame,Eucalyptus planks (decking 25×150×3m),350,m²,35.00,12250.00,Itapúa plantation,M_VLOER_01,70 m²/cabin × 5
Timber Frame,"Bamboo poles (decorative, non-structural)",80,units,15.00,1200.00,Caaguazú cooperative,"PR04, M_WOOD_01",16 units/cabin × 5
Roofing,Galv. metal trapezoidal 0.5mm,490,m²,4.20,2058.00,Techos del Paraguay (Asu),"M_VERF_01, CAPEX_OPTIONS §B.2",5 cabins × 70 m² × 1.4 slope
Roofing,Ridge cap + flashing,75,m,9.00,675.00,Techos del Paraguay,M_VERF_01,15 m/cabin × 5
Roofing,Roofing screws + washers,2000,units,0.15,300.00,CDE-import (M_BEV_01),M_BEV_01,400/cabin × 5
Roofing,Gutter + downspout (PVC),100,m,4.50,450.00,Asu ferretería,local market,20 m/cabin × 5
Roofing,Insulation (sheep wool or wood fiber),350,m²,12.00,4200.00,local supplier,sustainable building,70 m²/cabin × 5
Windows+Doors,"Aluminum windows (standard, 1.2×1.2m)",35,units,220.00,7700.00,Alumiconfort Asu,"M05, CAPEX_OPTIONS §A.5",7 windows/cabin × 5
Windows+Doors,Aluminum large-format panels (2×2m),5,units,600.00,3000.00,CDE-import (Alcoa/Pechiney),M05,1 large panel/cabin × 5
Windows+Doors,Glass for large panels (tempered),20,m²,95.00,1900.00,Vidrios del Paraguay,M05,4 m²/cabin × 5
Windows+Doors,Eucalyptus exterior doors (solid),15,units,280.00,4200.00,Local carpentry,M_WOOD_01,3 doors/cabin × 5
Windows+Doors,Eucalyptus interior doors,20,units,150.00,3000.00,Local carpentry,M_WOOD_01,4 doors/cabin × 5
Windows+Doors,Locks + handles (BR-import),35,sets,35.00,1225.00,CDE-import,M09,7 sets/cabin × 5
Flooring,Polished concrete (bathroom + kitchen),200,m²,32.00,6400.00,Local artisan,M_VLOER_01,40 m²/cabin × 5
Flooring,Eucalyptus plank (living area),150,m²,45.00,6750.00,Itapúa plantation,M_VLOER_01,30 m²/cabin × 5
Flooring,Quarry tile (entry + bathroom wall),50,m²,50.00,2500.00,Piribebuy sandstone,"M_VLOER_01, NEW02",10 m²/cabin × 5
Flooring,Lime plaster accent wall,60,m²,20.00,1200.00,Local artisan,"M_COB_01, M_VLOER_01",12 m²/cabin × 5
Septic+Water,Septic tank 3000L (per cabin),5,units,1800.00,9000.00,INAA-permitted installer (M08),"M08, CAPEX_OPTIONS §B.6","$5,500/cabin install"
Septic+Water,Reed-bed plants + install,5,systems,2700.00,13500.00,INAA-permitted installer (M08),M08,"$4,500/cabin material + plant"
Septic+Water,INAA permit (one-time),1,permit,1500.00,1500.00,INAA,F14,4-6 wk process
Septic+Water,"Drilled well (80 m, electric pump)",1,well,7500.00,7500.00,Local pozo,"F15, CAPEX_OPTIONS §B.5","$9,200 well + pump"
Septic+Water,Quebrada intake + sand filter,1,system,3500.00,3500.00,Local ingeniero,"F14, CAPEX_OPTIONS §B.5","$4,000 quebrada + filter"
